grid_id,latitude,longitude,zone_name,population,population_density,total_orders,avg_delivery_time_min,avg_order_value,active_restaurants,active_customers,competitor_count,road_density_km,median_income,avg_age,household_size,employment_rate,education_index,urbanization_level,internet_penetration,smartphone_adoption,is_profitable
cell_0000,,,,7218.700536961816,,,,,,,,,55976.99907107863,29.701066640410005,3.903855710063321,0.7315956598931559,0.6076015623279278,0.8713289233405528,0.7731120704066413,0.812455506438943,
cell_0001,,,,0.0,,,,,,,,,34032.14989180171,27.186853617035545,3.6046145305908346,0.679801472944228,0.7304933689246333,0.1119242594614826,0.7875682659274469,0.6624200970384465,
cell_0002,,,,0.0,,,,,,,,,39533.819766704844,31.77587834934412,4.671335799134598,0.6001762068733839,0.5169417391648309,0.4049534850015959,0.7508916235990483,0.4849592257891989,
cell_0003,,,,11626.418026768788,,,,,,,,,63161.20899485618,35.788559509108055,3.0254133095168125,0.6744571275529029,0.4797010303213854,0.954529298958946,0.7045183031745568,0.8706939696351262,
cell_0004,,,,401.7645438831737,,,,,,,,,34767.10228052776,26.55120379666432,3.4106944819705,0.7643919663396244,0.4242106513351236,0.308857087280729,0.723782587701508,0.5503370696544498,
cell_0005,,,,1735.5542299075687,,,,,,,,,39435.48110603223,36.0008826340657,4.052153802962437,0.6220226407080455,0.3350565853878259,0.426572198524907,0.6754814168069497,0.5885803063246392,
cell_0006,,,,2171.8144689940095,,,,,,,,,53655.840350030776,17.975714137018556,3.3313246055774983,0.7116030252050811,0.5951365474383028,0.1542212811636256,0.6995228170705365,0.7869256649364544,
cell_0007,,,,0.0,,,,,,,,,40372.04310407036,35.68435946759112,4.707592207097259,0.6169156161477761,0.5660986741305485,0.2797101853508509,0.6380779956577813,0.5719888244694673,
cell_0008,,,,9373.577157730904,,,,,,,,,49213.67929845533,34.27855853422257,3.4187558893089895,0.690974709723682,0.6374826882203575,0.8107091577175067,0.95,0.6191815195712866,
cell_0009,,,,0.0,,,,,,,,,38797.920305101754,29.109454949436053,4.890534373054138,0.666152182537553,0.4221841084375757,0.4981149520896564,0.7386481651817572,0.5446129765641972,
cell_0010,,,,12639.587336167837,,,,,,,,,49256.076150312765,34.36318331139946,4.5250003213826595,0.6810163937285972,0.4162717885641406,0.8726531631834152,0.6836577868866438,0.5830868820580934,
cell_0011,,,,0.0,,,,,,,,,31739.8917250082,37.214440527695594,4.80012895050371,0.6037603202023228,0.5764561679455518,0.2775977330380316,0.6453192468387816,0.5273282682985772,
cell_0012,,,,0.0,,,,,,,,,36693.73590096224,23.3451075159737,5.076615632467001,0.7833311951018487,0.5848572029936376,0.1448998638920118,0.7232787813198331,0.6604207809103841,
cell_0013,,,,10207.600418266253,,,,,,,,,39107.038287395415,37.05868184860968,4.149543579173929,0.6838497986940933,0.3576407264228503,0.836329585762331,0.6925678562173372,0.6365520304962496,
cell_0014,,,,5302.207405084065,,,,,,,,,40425.575172408775,39.637193259299984,3.5892569503659337,0.7581080243323881,0.4241458108489341,0.9731118866710108,0.5541719604231632,0.5683483105677853,
cell_0015,,,,11507.232487490572,,,,,,,,,48563.98729531319,28.94498616057416,3.9628561891625473,0.705499131700045,0.5732081670692608,0.7803859852023645,0.7537335746756952,0.7176618133761556,
cell_0016,,,,8339.303330769173,,,,,,,,,45410.18215765903,32.400509147769235,3.762565375718928,0.6842877818518163,0.4564171158241162,0.8301861238101501,0.5136671503376947,0.3941484395106027,
cell_0017,,,,7415.599494402025,,,,,,,,,54699.73132816692,36.259107332508854,3.5984070504614696,0.7542368076476664,0.5219633668515942,0.76336242211941,0.7729266859468571,0.7559446116034723,
cell_0018,,,,430.5819725760989,,,,,,,,,30150.868375367863,25.06667482657813,4.273918034649737,0.7294711570015304,0.273693073916367,0.1739061981249885,0.7484328438981108,0.5608474679896279,
cell_0019,,,,12421.184808580285,,,,,,,,,42613.87409065296,32.92204114390425,3.918009151989597,0.6428836076345886,0.3582232943534241,0.7746947841354266,0.5478026904148435,0.7404363421526365,
cell_0020,,,,15893.193595108682,,,,,,,,,62759.54138245088,35.25068668461781,3.496299744016993,0.7447647962225525,0.5418945733393278,0.9009157273789384,0.7996175680692831,0.8053137476258629,
cell_0021,,,,4036.5942166711898,,,,,,,,,47547.645654943415,32.74790665823087,3.9018223471569367,0.72064798384279,0.4203129525507098,0.4007889207271084,0.6945618228230623,0.7232624606583657,
cell_0022,,,,8817.673079934682,,,,,,,,,52972.69743281547,35.286411115609276,4.244762257773698,0.6074761083701481,0.3970891724069874,0.7830207772546338,0.6185866744891924,0.6175535457038447,
cell_0023,,,,5747.942400222445,,,,,,,,,42526.7626965058,42.39213097236473,4.55294097633129,0.6031043848409978,0.4386926496242037,0.9950839289334324,0.6564117420276826,0.4753759335285004,
cell_0024,,,,7553.155481776072,,,,,,,,,48689.32092832372,32.01121108670323,3.211644834121268,0.7168305880070386,0.4070030847793708,0.7852677473226485,0.5847254677796492,0.6692929768574204,
